"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Nijkerk","GM0267","Nijkerk","Nijkerk","AM14","Amersfoort","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1911","SafetyandHealthRegionGelderland-Midden","JZ21","FoodValley","KK43","East","LB2507","WesternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES09","FoodValley","MC16","EemandValley","RA0513","Amersfoortandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0901","FoodValleyGelderland","TR08","VeluweandVeluweedge","VT05","Gelderland-Middle","VR07","Gelderland-Middle","ZK23","Utrecht","4","20,000to50,000inhabitants","3","Moderatelyurban","43,600","1117"
"Nijmegen","GM0268","Nijmegen","Nijmegen","AM08","KingdomofNijmegen","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG2014","MunicipalHealthServiceGelderland-South","JZ32","KingdomofNijmegen","KK43","East","LB2504","EasternBetuweandNijmegen","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC40","KingdomofNijmegen","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","7","150,000to250,000inhabitants","2","Stronglyurban","177359","2409"
"Nissewaard","GM1930","Nissewaard","Nissewaard","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2801","Voorne-PuttenandHoekscheWaard","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR04","Deltaarea","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK29","SouthHollandIslands","5","50,000to100,000inhabitants","2","Stronglyurban","85440","2039"
"Northeast Friesland","GM1970","NortheastFriesland","Northeast+Friesland","AM02","Friesland","AR05","NorthernNetherlands","CR04","NorthFriesland","CS040","NorthFriesland","CP0400","NorthFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2101","NorthernFriesland","LG01","BouwhoekandHogeland","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC04","FrieslandNorth","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR17","OtherNetherlands","VT04","Friesland","VR02","Friesland","ZK08","Friesland","4","20,000to50,000inhabitants","5","Non-urban","45481","463"
"North Beveland","GM1695","NorthBeveland","North+Beveland","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2901","NorthernZeeland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC31","EasternScheldtregion","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","2","5,000to10,000inhabitants","5","Non-urban","7581","236"
"Northfield","GM1699","Northfield","Northfield","AM01","Groningen","AR05","NorthernNetherlands","CR07","NorthDrenthe","CS070","NorthDrenthe","CP0700","NorthDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2201","PastureareaoftheNoorderveld","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC07","NorthandCentralDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","4","20,000to50,000inhabitants","4","Notveryurban","31214","682"
"Northeastpolder","GM0171","Northeastpolder","Northeastpolder","AM11","Flevoland","AR04","CentralNetherlands","CR40","Flevoland","CS400","Flevoland","CP4003","NortheastpolderandUrk","GG2209","GGDFlevoland","JZ08","Flevoland","KK41","Northwest","LB2401","NortheasternPolder","LG06","IJsselmeerpolders","LD02","EastNetherlands","PV24","Flevoland","RE03","CentralNetherlands","ES06","Flevoland","MC18","Flevoland","RA0410","Flevoland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0601","Flevoland","TR03","IJsselmeercoast","VT03","Flevoland","VR25","Flevoland","ZK07","Flevoland","4","20,000to50,000inhabitants","4","Notveryurban","47583","735"
"Northwijk","GM0575","Northwijk","Northwijk","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2808","Bulbregion","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR02","NorthSeaseasideresorts","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","3","Moderatelyurban","44062","1399"
"Nuenen, Gerwen and Nederwetten","GM0820","Nuenen,GerwenandNederwetten","Nuenen,GerwenandNederwetten","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","23702","1111"
"Nunspeet","GM0302","Nunspeet","Nunspeet","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ12","NorthVeluwe","KK43","East","LB2507","WesternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES10","NorthVeluwe","MC17","NorthwestVeluwe","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1001","NorthVeluwe","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK32","Zwolle","4","20,000to50,000inhabitants","4","Notveryurban","28021","807"
"Oegstgeest","GM0579","Oegstgeest","Oegstgeest","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2808","Bulbregion","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","2","Stronglyurban","25064","1770"
"Oirschot","GM0823","Oirschot","Oirschot","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","18842","616"
"Oisterwijk","GM0824","Oisterwijk","Oisterwijk","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES25","HeartofBrabant","MC35","CentralBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR20","CentralandWestBrabant","ZK12","CentralBrabant","4","20,000to50,000inhabitants","4","Notveryurban","32373","925"
"Oldambt","GM1895","Oldambt","Oldambt","AM01","Groningen","AR05","NorthernNetherlands","CR01","EastGroningen","CS010","EastGroningen","CP0100","EastGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2003","EasternConstructionRegioninGroningen","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC01","EastGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR17","OtherNetherlands","VT08","Groningen","VR01","Groningen","ZK09","Groningen","4","20,000to50,000inhabitants","4","Notveryurban","38277","831"
"Oldebroek","GM0269","Oldebroek","Oldebroek","AM36","Zwolleregion","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ12","NorthVeluwe","KK43","East","LB2501","EasternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES10","NorthVeluwe","MC17","NorthwestVeluwe","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1001","NorthVeluwe","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK32","Zwolle","4","20,000to50,000inhabitants","4","Notveryurban","23760","655"
"Oldenzaal","GM0173","Oldenzaal","Oldenzaal","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","3","Moderatelyurban","31701","1474"
"Olst-Wijhe","GM1773","Olst-Wijhe","Olst+Wijhe","AM06","TriangleofCitiesandNorthwestVeluwe","AR06","Overijssel","CR11","SouthwestOverijssel","CS110","SouthwestOverijssel","CP1100","SouthwestOverijssel","GG1009","GGDIJsselland","JZ07","IJsselland","KK43","East","LB2304","Salland","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES05","WestOverijssel","MC11","TriangleofCities","RA0204","Zwolleregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0501","WestOverijssel","TR11","Twente,SallandandVechtregion","VT11","IJsselland","VR04","IJsselland","ZK14","MiddleIJssel","3","10,000to20,000inhabitants","5","Non-urban","18361","473"
"Ommen","GM0175","Ommen","Ommen","AM36","Zwolleregion","AR06","Overijssel","CR10","NorthOverijssel","CS100","NorthOverijssel","CP1000","NorthOverijssel","GG1009","GGDIJsselland","JZ07","IJsselland","KK43","East","LB2302","NortheastOverijssel","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES05","WestOverijssel","MC10","IJssel-Vecht","RA0204","Zwolleregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0501","WestOverijssel","TR11","Twente,SallandandVechtregion","VT11","IJsselland","VR04","IJsselland","ZK32","Zwolle","3","10,000to20,000inhabitants","4","Notveryurban","18295","507"
"East Gelre","GM1586","EastGelre","EastGelre","AM09","Achterhoek","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ25","Achterhoek","KK43","East","LB2508","Achterhoek","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES07","Achterhoek","MC13","Achterhoek","RA0207","Achterhoek","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0701","Achterhoek","TR10","Achterhoek","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK04","Arnhem","4","20,000to50,000inhabitants","4","Notveryurban","29574","737"
"Oosterhout","GM0826","Oosterhout","Oosterhout","AM25","WestBrabant","AR11","Zeeland-West-Brabant","CR33","WestNorthBrabant","CS330","WestNorthBrabant","CP3300","WestNorthBrabant","GG5206","GGDWest-Brabant","JZ34","WestBrabantEast","KK44","South","LB3002","WesternLongStreet","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES28","WestBrabant","MC34","WestBrabant","RA1323","WestBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2801","WestBrabant","TR13","WestandCentralBrabant","VT21","WestBrabant","VR20","CentralandWestBrabant","ZK25","WestBrabant","5","50,000to100,000inhabitants","2","Stronglyurban","56206","1538"
"Eaststellingwerf","GM0085","Eaststellingwerf","Eaststellingwerf","AM02","Friesland","AR05","NorthernNetherlands","CR06","SoutheastFriesland","CS060","SoutheastFriesland","CP0600","SoutheastFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2103","TheWoods","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC06","Friesland-East","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR12","Groningen,FrisianandDrenthesandysoils","VT04","Friesland","VR02","Friesland","ZK08","Friesland","4","20,000to50,000inhabitants","5","Non-urban","25464","482"
"Eastzaan","GM0431","Eastzaan","Eastzaan","AM17","Zaanregion/Waterland","AR02","NorthHolland","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2321","OtherAmsterdamAgglomeration","GG7306","MunicipalHealthServiceZaanstreek/Waterland","JZ09","Zaanregion-Waterland","KK41","Northwest","LB2706","WaterlandandNorthHollandPolders","LG08","WaterlandandPolders","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0615","ZaanregionandWaterland","RT11","AmsterdamCourtofAppeal","ET1603","Zaanregion-Waterland","TR06","Dutch-Utrechtlakes","VT22","Zaanregion-Waterland","VR11","Zaanregion-Waterland","ZK26","Zaanregion/Waterland","2","5,000to10,000inhabitants","3","Moderatelyurban","9689","1060"
"Opmeer","GM0432","Opmeer","Opmeer","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ05","WestFriesland","KK41","Northwest","LB2705","WestFrieslandandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC22","WestFriesland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1503","WestFriesland","TR17","OtherNetherlands","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","3","10,000to20,000inhabitants","4","Notveryurban","12009","535"
"Opsterland","GM0086","Opsterland","Opsterland","AM02","Friesland","AR05","NorthernNetherlands","CR06","SoutheastFriesland","CS060","SoutheastFriesland","CP0600","SoutheastFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2103","TheWoods","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC06","Friesland-East","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR12","Groningen,FrisianandDrenthesandysoils","VT04","Friesland","VR02","Friesland","ZK08","Friesland","4","20,000to50,000inhabitants","5","Non-urban","29812","412"
"Oss","GM0828","Oss","Oss","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS352","OtherNortheastNorthBrabant","CP3520","OtherNortheastNorthBrabant","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3009","MaaskantandLandvanCuijk","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","5","50,000to100,000inhabitants","3","Moderatelyurban","92526","1401"
"Old IJssel region","GM1509","OldIJsselregion","OldIJsselregion","AM09","Achterhoek","AR03","Gelderland","CR14","Achterhoek","CS140","Achterhoek","CP1400","Achterhoek","GG1413","GGDNorthandEastGelderland","JZ25","Achterhoek","KK43","East","LB2508","Achterhoek","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES07","Achterhoek","MC13","Achterhoek","RA0207","Achterhoek","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0701","Achterhoek","TR10","Achterhoek","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK04","Arnhem","4","20,000to50,000inhabitants","4","Notveryurban","39346","649"
"Ouder-Amstel","GM0437","Ouder-Amstel","Parent+Amstel","AM18","GreaterAmsterdam","AR01","Amsterdam","CR23","GreaterAmsterdam","CS232","OtherGreaterAmsterdam","CP2321","OtherAmsterdamAgglomeration","GG3406","GGDAmsterdam","JZ13","Amsterdam-Amstelland","KK41","Northwest","LB2707","TheGeinandGooiland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV27","NorthHolland","RE05","Amsterdam","ES16","NorthHollandSouth","MC21","AmsterdamAgglomeration","RA0717","Amstelland,KennemerlandandMeerlanden","RT11","AmsterdamCourtofAppeal","ET1606","Amstelland","TR17","OtherNetherlands","VT01","Amsterdam-Amstelland","VR13","Amsterdam-Amstelland","ZK01","AmstellandandDeMeerlanden","3","10,000to20,000inhabitants","3","Moderatelyurban","14125","1320"
"Oldwater","GM0589","Oldwater","Oldwater","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1701","Utrecht-West","GG2514","GGDRegionUtrecht","JZ19","UtrechtWest","KK41","Northwest","LB2602","WesternPastureAreainUtrecht","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","3","10,000to20,000inhabitants","4","Notveryurban","10138","845"
"Overbetuwe","GM1734","Overbetuwe","Overbetuwe","AM07","CentralGelderland","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG1911","SafetyandHealthRegionGelderland-Midden","JZ28","CentralGelderland","KK43","East","LB2505","VeluwezoomandBetuwe","LG10","Riverarea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC41","Arnhem","RA0309","CentralGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR09","GelderlandRiverArea","VT05","Gelderland-Middle","VR07","Gelderland-Middle","ZK04","Arnhem","4","20,000to50,000inhabitants","4","Notveryurban","48214","809"
"Papendrecht","GM0590","Papendrecht","Papendrecht","AM23","Drechtsteden","AR08","Rotterdam","CR30","SoutheastSouthHolland","CS300","SoutheastSouthHolland","CP3001","Drechtsteden","GG4816","Health&YouthServiceZHZ","JZ31","SouthHollandSouth","KK45","Southwest","LB2807","AlblasserwaardandVijfherenlanden","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES18","Drechtsteden","MC30","SouthHolland-South","RA1121","SouthHollandSouth","RT13","TheHagueCourtofAppeal","ET1801","Drechtsteden","TR04","Deltaarea","VT24","SouthHolland-South","VR18","SouthHolland-South","ZK24","Valuesland","4","20,000to50,000inhabitants","2","Stronglyurban","32171","1914"
"Peel and Maas","GM1894","PeelandMaas","PeelandMaas","AM29","NorthLimburg","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ37","NorthLimburg","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","4","20,000to50,000inhabitants","4","Notveryurban","43660","586"
"Pekela","GM0765","Pekela","Pekela","AM01","Groningen","AR05","NorthernNetherlands","CR01","EastGroningen","CS010","EastGroningen","CP0100","EastGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2004","WesterwoldeandGroningenPeatColonies","LG02","PeatcoloniesandOldambt","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC01","EastGroningen","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR17","OtherNetherlands","VT08","Groningen","VR01","Groningen","ZK09","Groningen","3","10,000to20,000inhabitants","4","Notveryurban","12176","533"
